시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,34.32,201710,14,500,80,7,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201710,27,15000,50,11,2004,선릉로86길 31
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201701,20,17000,0,2,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201702,1,15000,0,8,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201702,10,10000,40,7,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201704,11,1000,75,16,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,33.81,201708,28,18000,0,14,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201709,7,5000,50,4,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201710,28,1000,75,16,2003,테헤란로64길 8
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌,월세,50.83,201704,19,2000,110,6,2004,테헤란로64길 9
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌,전세,33.02,201706,14,22000,0,5,2004,테헤란로64길 9
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,27.45,201701,4,1000,80,22,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201701,6,5000,65,22,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,30.11,201702,24,21000,0,6,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.19,201702,27,1000,75,22,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.19,201703,28,500,75,6,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201705,18,10000,30,18,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201705,23,1000,80,7,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.73,201706,6,1000,65,6,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,26.19,201707,15,18000,0,19,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,26.19,201707,31,19500,0,18,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201709,5,7000,50,16,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201709,27,2000,75,18,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,30.11,201709,29,19000,0,19,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201710,21,2000,70,11,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.19,201710,25,1000,68,7,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,30.11,201711,21,21000,0,12,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.19,201712,1,1000,65,11,2004,테헤란로88길 10
서울특별시 강남구 대치동,891-6,891,6,테헤란로 대우 아이빌,월세,38.56,201707,18,14000,50,2,2004,테헤란로 428
서울특별시 강남구 대치동,891-6,891,6,테헤란로 대우 아이빌,월세,38.56,201712,30,13000,40,2,2004,테헤란로 428
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,77.81,201705,15,52000,0,12,2006,강남대로 272
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201701,13,100000,0,5,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201701,31,120000,0,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201702,9,80000,110,9,2005,남부순환로 2763
